answers,chunk_tokens,dataset,evidence_tokens,failed_methods,original_prompt_tokens,prompt_tokens,sample_id,sample_idx,was_truncated
Alexandra Kolosova,4014,wikimqa,17,query_attention,6586,4096,60,60,True
Jessi Colter,4012,wikimqa,45,query_attention,6337,4096,61,61,True
William Pooley,4016,wikimqa,19,query_attention,6323,4096,63,63,True
Sweden,4019,wikimqa,13,query_attention,6358,4096,64,64,True
Madrid,4012,wikimqa,57,query_attention,6546,4096,67,67,True
Dubai,4012,wikimqa,24,query_attention,6150,4096,71,71,True
Prince Albert of Prussia,4009,wikimqa,32,query_attention,7275,4096,73,73,True
"Sir Paul Gore, 1st Baronet",4012,wikimqa,44,query_attention,7306,4096,76,76,True
The Drover'S Sweetheart,4009,wikimqa,24,query_attention,6608,4096,80,80,True
Det Sande Ansigt,4010,wikimqa,22,query_attention,6630,4096,82,82,True
Revolt Of The Praetorians,4008,wikimqa,36,query_attention,6277,4096,85,85,True
poisoning,4012,wikimqa,11,query_attention,6090,4096,87,87,True
America,4011,wikimqa,12,query_attention,6464,4096,88,88,True
Kingdom of Hawaii,4016,wikimqa,15,query_attention,6060,4096,89,89,True
Vasantha Raagam,4011,wikimqa,22,query_attention,6083,4096,91,91,True
"John I, Duke of Bourbon",4016,wikimqa,18,query_attention,6724,4096,93,93,True
Washington,4014,wikimqa,12,query_attention,6479,4096,98,98,True
